Date, Open, High, Low, Close
3/9/2016,16969.17,17048.5,16947.94,17000.36
3/10/2016,17006.05,17130.11,16821.86,16995.13
3/11/2016,17014.99,17220.09,17014.99,17213.31
3/14/2016,17207.49,17275.07,17161.16,17229.13
3/15/2016,17217.15,17251.7,17120.35,17251.53
3/16/2016,17249.34,17379.18,17204.07,17325.76
3/17/2016,17321.38,17529.01,17297.65,17481.49
3/18/2016,17481.49,17620.58,17481.49,17602.3
3/21/2016,17589.7,17644.97,17551.28,17623.87
3/22/2016,17602.71,17648.94,17540.42,17582.57
3/23/2016,17588.81,17588.81,17486.27,17502.59
3/24/2016,17485.33,17517.14,17399.01,17515.73
3/28/2016,17526.08,17583.81,17493.03,17535.39
3/29/2016,17512.58,17642.81,17434.27,17633.11
3/30/2016,17652.36,17790.11,17652.36,17716.66
3/31/2016,17716.05,17755.7,17669.72,17685.09
4/1/2016,17661.74,17811.48,17568.02,17792.75
4/4/2016,17799.39,17806.38,17710.67,17737
4/5/2016,17718.03,17718.03,17579.56,17603.32
4/6/2016,17605.45,17723.55,17542.54,17716.05
4/7/2016,17687.28,17687.28,17484.23,17541.96
4/8/2016,17555.39,17694.51,17528.16,17576.96
4/11/2016,17586.48,17731.63,17555.9,17556.41
4/12/2016,17571.34,17744.43,17553.57,17721.25
4/13/2016,17741.66,17918.35,17741.66,17908.28
4/14/2016,17912.25,17962.14,17885.44,17926.43
4/15/2016,17925.95,17937.65,17867.41,17897.46
4/18/2016,17890.2,18009.53,17848.22,18004.16
4/19/2016,18012.1,18103.46,17984.43,18053.6
4/20/2016,18059.49,18167.63,18031.21,18096.27
4/21/2016,18092.84,18107.29,17963.89,17982.52
4/22/2016,17985.05,18026.85,17909.89,18003.75
4/25/2016,17990.94,17990.94,17855.55,17977.24
4/26/2016,17987.38,18043.77,17934.17,17990.32
4/27/2016,17996.14,18084.66,17920.26,18041.55
4/28/2016,18023.88,18035.73,17796.55,17830.76
4/29/2016,17813.09,17814.83,17651.98,17773.64
5/2/2016,17783.78,17912.35,17773.71,17891.16
5/3/2016,17870.75,17870.75,17670.88,17750.91
5/4/2016,17735.02,17738.06,17609.01,17651.26
5/5/2016,17664.48,17736.11,17615.82,17660.71
5/6/2016,17650.3,17744.54,17580.38,17740.63
5/9/2016,17743.85,17783.16,17668.38,17705.91
5/10/2016,17726.66,17934.61,17726.66,17928.35
5/11/2016,17919.03,17919.03,17711.05,17711.12
5/12/2016,17722.01,17798.19,17625.38,17720.5
5/13/2016,17711.12,17734.74,17512.48,17535.32
5/16/2016,17531.76,17755.8,17531.76,17710.71
5/17/2016,17701.46,17701.46,17469.92,17529.98
5/18/2016,17501.28,17636.22,17418.21,17526.62
5/19/2016,17514.16,17514.16,17331.07,17435.4
5/20/2016,17437.32,17571.75,17437.32,17500.94
5/23/2016,17507.04,17550.7,17480.05,17492.93
5/24/2016,17525.19,17742.59,17525.19,17706.05
5/25/2016,17735.09,17891.71,17735.09,17851.51
5/26/2016,17859.52,17888.66,17803.82,17828.29
5/27/2016,17826.85,17873.22,17824.73,17873.22
5/31/2016,17891.5,17899.24,17724.03,17787.2
6/1/2016,17754.55,17809.18,17664.79,17789.67
6/2/2016,17789.05,17838.56,17703.55,17838.56
6/3/2016,17799.8,17833.17,17689.68,17807.06
6/6/2016,17825.69,17949.68,17822.81,17920.33
6/7/2016,17936.22,18003.23,17936.22,17938.28
6/8/2016,17931.91,18016,17931.91,18005.05
6/9/2016,17969.98,18005.22,17915.88,17985.19
6/10/2016,17938.82,17938.82,17812.34,17865.34
6/13/2016,17830.5,17893.28,17731.35,17732.48
6/14/2016,17710.77,17733.92,17595.79,17674.82
6/15/2016,17703.65,17762.96,17629.01,17640.17
6/16/2016,17602.23,17754.91,17471.29,17733.1
6/17/2016,17733.44,17733.44,17602.78,17675.16
6/20/2016,17736.87,17946.36,17736.87,17804.87
6/21/2016,17827.33,17877.84,17799.8,17829.73
6/22/2016,17832.67,17920.16,17770.36,17780.83
6/23/2016,17844.11,18011.07,17844.11,18011.07
6/24/2016,17946.63,17946.63,17356.34,17400.75
6/27/2016,17355.21,17355.21,17063.08,17140.24
6/28/2016,17190.51,17409.72,17190.51,17409.72
6/29/2016,17456.02,17704.51,17456.02,17694.68
6/30/2016,17712.76,17930.61,17711.8,17929.99
7/1/2016,17924.24,18002.38,17916.91,17949.37
7/5/2016,17904.45,17904.45,17785.28,17840.62
7/6/2016,17807.47,17926.91,17713.45,17918.62
7/7/2016,17924.24,17984.95,17816.65,17895.88
7/8/2016,17971.22,18166.77,17971.22,18146.74
7/11/2016,18161.53,18283.9,18161.53,18226.93
7/12/2016,18259.12,18371.95,18259.12,18347.67
7/13/2016,18356.78,18390.16,18315.76,18372.12
7/14/2016,18414.3,18537.57,18414.3,18506.41
7/15/2016,18508.88,18557.43,18471.62,18516.55
7/18/2016,18521.55,18556.13,18489.84,18533.05
7/19/2016,18503.12,18562.53,18495.11,18559.01
7/20/2016,18582.7,18622.01,18555.65,18595.03
7/21/2016,18589.96,18590.44,18469.67,18517.23
7/22/2016,18524.15,18571.3,18491.59,18570.85
7/25/2016,18554.49,18555.69,18452.62,18493.06
7/26/2016,18497.37,18522.47,18387.22,18473.75
7/27/2016,18473.27,18542.39,18430.94,18472.17
7/28/2016,18461.01,18483.26,18368.82,18456.35
7/29/2016,18442.52,18466.55,18371.12,18432.24
8/1/2016,18434.5,18467.03,18355.75,18404.51
8/2/2016,18401.15,18403.65,18247.79,18313.77
8/3/2016,18313.08,18355,18283.23,18355
8/4/2016,18351.43,18397.87,18325.17,18352.05
8/5/2016,18402.8,18543.53,18402.8,18543.53
8/8/2016,18540.65,18569.31,18502.03,18529.29
8/9/2016,18538.05,18585.32,18507.75,18533.05
8/10/2016,18541.48,18561.75,18468.78,18495.66
8/11/2016,18519.08,18638.34,18519.08,18613.52
8/12/2016,18595.65,18606.06,18535.86,18576.47
8/15/2016,18588.59,18668.44,18588.59,18636.05
8/16/2016,18614.48,18614.86,18550.65,18552.02
8/17/2016,18537.09,18582.35,18468.68,18573.94
8/18/2016,18566.54,18600.82,18533.29,18597.7
8/19/2016,18585.17,18585.17,18491.24,18552.57
8/22/2016,18535.86,18570.92,18466.86,18529.42
8/23/2016,18568.94,18631.6,18545.52,18547.3
8/24/2016,18537.5,18539.15,18448.27,18481.48
8/25/2016,18471.21,18497.68,18431.46,18448.41
8/26/2016,18467.92,18572.09,18335.34,18395.4
8/29/2016,18421.29,18523.09,18419.92,18502.99
8/30/2016,18491.28,18514.29,18408.52,18454.3
8/31/2016,18436.7,18439.68,18333.56,18400.88
9/1/2016,18396.57,18430.05,18295.48,18419.3
9/2/2016,18466.01,18544.76,18439.1,18491.96
9/6/2016,18493.4,18551.54,18450.32,18538.12
9/7/2016,18527.71,18536.89,18474.77,18526.14
9/8/2016,18486.69,18506.24,18446.69,18479.91
9/9/2016,18404.17,18404.17,18085.45,18085.45
9/12/2016,18028.95,18358.69,17994.84,18325.07
9/13/2016,18262.99,18262.99,18028.06,18066.75
9/14/2016,18073.39,18163.48,17992.21,18034.77
9/15/2016,18024.91,18250.11,18015.49,18212.48
9/16/2016,18217.21,18217.21,18070.21,18123.8
9/19/2016,18154.82,18254.88,18093.05,18120.17
9/20/2016,18175.36,18227.21,18128.8,18129.96
9/21/2016,18164.96,18307.43,18121.57,18293.7
9/22/2016,18343.76,18449.88,18343.76,18392.46
9/23/2016,18377.36,18383.76,18254.84,18261.45
9/26/2016,18217.76,18217.76,18083.32,18094.83
9/27/2016,18099.21,18238.1,18052.16,18228.3
9/28/2016,18240.22,18349.86,18179.34,18339.24
9/29/2016,18322.88,18366.23,18091.64,18143.45
9/30/2016,18181.8,18369.62,18181.8,18308.15
10/3/2016,18279.6,18279.8,18203.75,18253.85
10/4/2016,18267.68,18313.77,18116.26,18168.45
10/5/2016,18205.5,18315.82,18205.5,18281.03
10/6/2016,18280.42,18288.12,18162.97,18268.5
10/7/2016,18295.35,18319.73,18149.35,18240.49
10/10/2016,18282.95,18399.96,18282.95,18329.04
10/11/2016,18308.43,18312.33,18061.96,18128.66
10/12/2016,18132.63,18193.96,18082.09,18144.2
10/13/2016,18088.32,18137.7,17959.95,18098.94
10/14/2016,18177.35,18261.11,18138.38,18138.38
10/17/2016,18135.85,18162.28,18063.02,18086.4
10/18/2016,18145.06,18225.8,18129.45,18161.94
10/19/2016,18178.21,18252.2,18169.25,18202.62
10/20/2016,18161.87,18249.05,18129.07,18162.35
10/21/2016,18152.63,18168.76,18049.77,18145.71
10/24/2016,18197.14,18275.04,18191.18,18223.03
10/25/2016,18206.52,18241.69,18151.7,18169.27
10/26/2016,18103.8,18236.04,18062.3,18199.33
10/27/2016,18234.81,18253.2,18149.2,18169.68
10/28/2016,18193.79,18257.06,18094.97,18161.19
10/31/2016,18176.6,18193.68,18130.58,18142.42
11/1/2016,18158.24,18177.01,17940.84,18037.1
11/2/2016,18017.72,18044.15,17931.89,17959.64
11/3/2016,17978.75,18006.96,17904.07,17930.67
11/4/2016,17928.35,17986.76,17883.56,17888.28
11/7/2016,17994.64,18263.3,17994.64,18259.6
11/8/2016,18251.38,18400.5,18200.75,18332.74
11/9/2016,18317.26,18650.06,18252.55,18589.69
11/10/2016,18603.14,18873.66,18603.14,18807.88
11/11/2016,18781.65,18855.78,18736.96,18847.66
11/14/2016,18876.77,18934.05,18815.75,18868.69
11/15/2016,18858.21,18925.26,18806.06,18923.06
11/16/2016,18909.85,18909.85,18825.89,18868.14
11/17/2016,18866.22,18904.03,18845.27,18903.82
11/18/2016,18905.33,18915.74,18853.83,18867.93
11/21/2016,18898.68,18960.76,18883.1,18956.69
11/22/2016,18970.39,19043.9,18962.82,19023.87
11/23/2016,19015.52,19083.76,19000.38,19083.18
11/25/2016,19093.72,19152.14,19093.72,19152.14
11/28/2016,19122.14,19138.72,19072.25,19097.9
11/29/2016,19064.07,19144.4,19062.22,19121.6
11/30/2016,19135.64,19225.29,19123.38,19123.58
12/1/2016,19149.2,19214.3,19138.79,19191.93
12/2/2016,19161.25,19196.14,19141.18,19170.42
12/5/2016,19244.35,19274.85,19186.73,19216.24
12/6/2016,19219.91,19255.89,19184.74,19251.78
12/7/2016,19241.99,19558.42,19229.83,19549.62
12/8/2016,19559.94,19664.97,19527.83,19614.81
12/9/2016,19631.35,19757.74,19623.19,19756.85
12/12/2016,19770.2,19824.59,19747.74,19796.43
12/13/2016,19852.21,19953.75,19846.45,19911.21
12/14/2016,19876.13,19966.43,19748.67,19792.53
12/15/2016,19811.5,19951.29,19811.5,19852.24
12/16/2016,19909.01,19923.17,19821,19843.41
12/19/2016,19836.66,19917.78,19832.95,19883.06
12/20/2016,19920.59,19987.63,19920.42,19974.62
12/21/2016,19968.97,19986.56,19941.96,19941.96
12/22/2016,19922.68,19933.83,19882.19,19918.88
12/23/2016,19908.61,19934.15,19899.06,19933.81
12/27/2016,19943.46,19980.24,19939.8,19945.04
12/28/2016,19964.31,19981.11,19827.31,19833.68
12/29/2016,19835.46,19878.44,19788.94,19819.78
12/30/2016,19833.17,19852.55,19718.67,19762.6
1/3/2017,19872.86,19938.53,19775.93,19881.76
1/4/2017,19890.94,19956.14,19878.83,19942.16
1/5/2017,19924.56,19948.6,19811.12,19899.29
1/6/2017,19906.96,19999.63,19834.08,19963.8
1/9/2017,19931.41,19943.78,19887.38,19887.38
1/10/2017,19876.35,19957.12,19836.03,19855.53
1/11/2017,19887.38,19973.42,19833.16,19954.28
1/12/2017,19926.21,19929.29,19770.47,19891
1/13/2017,19912.54,19952.03,19849.38,19885.73
1/17/2017,19848.82,19882.99,19775.35,19826.77
1/18/2017,19822.73,19828.2,19739,19804.72
1/19/2017,19813.55,19824.14,19677.94,19732.4
1/20/2017,19795.06,19843.94,19759.14,19827.25
1/23/2017,19794.79,19833.98,19732.36,19799.85
1/24/2017,19794.68,19949.24,19786.71,19912.71
1/25/2017,19994.48,20082,19994.48,20068.51
1/26/2017,20076.25,20125.58,20067.53,20100.91
1/27/2017,20103.36,20115.97,20072.64,20093.78
1/30/2017,20028.62,20028.62,19870.39,19971.13
1/31/2017,19913.16,19918.17,19784.77,19864.09
2/1/2017,19923.81,19967.73,19845.99,19890.94
2/2/2017,19858.34,19922.75,19831.09,19884.91
2/3/2017,19964.21,20081.48,19964.21,20071.46
2/6/2017,20025.61,20094.95,20002.81,20052.42
2/7/2017,20107.62,20155.35,20068.68,20090.29
2/8/2017,20049.29,20068.28,20015.33,20054.34
